enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last
2021_13,linear,1920,0,120,-0.003376280947271984,-5.02567115179982,,,,0.2100663839034847,linear_fit_t_mean=79.500000,,,,,,40.0,159.0,99.5,-5.806137726772664,-4.568254704299445,-5.034197868932174,0.0076315442611864775,0.007321346879028786,0.005200011717380827,0.0030090293516189053,40.0,41.0,158.0,159.0,2022-01,2024-16
2021_13,slope7_success,1920,0,160,-0.003376280947271984,-4.579596434554159,-0.2813584646238982,-0.001793534781985573,1.0526466316452756,0.22011478988853483,,,-4.715498364058271,-0.06107958365970776,0.001,53.0,0.0,159.0,79.5,-5.806137726772664,-4.376717787399277,-5.013466513636438,0.010010298094809795,0.009417171601878922,0.005200011717380827,0.0030090293516189053,0.0,1.0,158.0,159.0,2021-13,2024-16
2021_13,slope7_lm_invalid_params,1920,0,160,-0.003376280947271984,-4.981851106808784,0.0026437386000948016,6.041311667946877,-105601.16261321421,,invalid parameters from LM slope7 fit,,-4.715498364058271,-0.06107958365970776,0.001,53.0,0.0,159.0,79.5,-5.806137726772664,-4.376717787399277,-5.013466513636438,0.010010298094809795,0.009417171601878922,0.005200011717380827,0.0030090293516189053,0.0,1.0,158.0,159.0,2021-13,2024-16
2021_13,slope8,1920,0,160,-0.003376280947271984,-4.896281357865966,-0.001463701191907701,-0.001463701191907701,51.99990627097311,0.22241154228206417,,,-5.0949691776052175,-0.001904420836651208,0.0001,52.0,0.0,159.0,79.5,-5.806137726772664,-4.376717787399277,-5.013466513636438,0.010010298094809795,0.009417171601878922,0.005200011717380827,0.0030090293516189053,0.0,1.0,158.0,159.0,2021-13,2024-16
2021_13,linear,1920,1,120,0.001740787237886962,-5.146431386991688,,,,0.38106160431152525,linear_fit_t_mean=79.500000,,,,,,40.0,159.0,99.5,-6.234410405328633,-4.253228998456224,-5.161005661120358,0.0047230658859587285,0.005179122496028477,0.005305052229693117,0.00712380572785113,40.0,41.0,158.0,159.0,2022-01,2024-16
2021_13,slope7_success,1920,1,160,0.001740787237886962,-5.026409343336585,-1.445728754203736,0.0008565408915026662,0.15422945935085636,0.3499440848092828,,,-5.253417675287855,-0.2311952900931879,0.30415629112669784,53.0,0.0,159.0,79.5,-6.234410405328633,-4.253228998456224,-5.180027464058123,0.0065630632815660474,0.005208345107138235,0.005305052229693117,0.00712380572785113,0.0,1.0,158.0,159.0,2021-13,2024-16
2021_13,slope7_lm,1920,1,160,0.001740787237886962,-5.309991633913549,0.0033136665623279223,-0.4881163884231613,15522.520944018246,0.3490868922623452,,,-5.253417675287855,-0.2311952900931879,0.30415629112669784,53.0,0.0,159.0,79.5,-6.234410405328633,-4.253228998456224,-5.180027464058123,0.0065630632815660474,0.005208345107138235,0.005305052229693117,0.00712380572785113,0.0,1.0,158.0,159.0,2021-13,2024-16
2021_13,slope8,1920,1,160,0.001740787237886962,-5.252582053314839,-0.00020025158521044275,0.0020518327857254916,51.999846488532775,0.3527352674784919,,,-5.279325921335862,0.0012933483231478658,0.0036616373774996,52.0,0.0,159.0,79.5,-6.234410405328633,-4.253228998456224,-5.180027464058123,0.0065630632815660474,0.005208345107138235,0.005305052229693117,0.00712380572785113,0.0,1.0,158.0,159.0,2021-13,2024-16
2021_13,linear,1920,2,120,0.0011342218245691258,-5.162403116783721,,,,0.17030792448096693,linear_fit_t_mean=79.500000,,,,,,40.0,159.0,99.5,-5.585258195684804,-4.633703493705451,-5.151274278102997,0.005064688124119109,0.0064751896697944795,0.005340283812886155,0.004953911328427523,40.0,41.0,158.0,159.0,2022-01,2024-16
2021_13,slope7_success,1920,2,160,0.0011342218245691258,-5.419009658602273,0.002524659224491321,0.0025246592279478956,0.0010138171979620074,0.18894098841399573,,,-5.683361015991818,0.17355129379933984,0.001,53.0,0.0,159.0,79.5,-5.814738803589492,-4.633703493705451,-5.218299249465561,0.003075698728122381,0.0036586103806633056,0.005340283812886155,0.004953911328427523,0.0,1.0,158.0,159.0,2021-13,2024-16
